commit	val_roi	val_brier	status	description
e1b874e	0.335790	0.236702	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=5 threshold=0.13 feats=54
f7b1e64	0.325792	0.236912	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=5 threshold=0.13 feats=54
f7b1e64	0.321935	0.236832	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=5 threshold=0.13 feats=54
f7b1e64	0.335895	0.236777	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=10 momentum_W=5 threshold=0.13 feats=54
f7b1e64	0.320294	0.236880	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=20 momentum_W=5 threshold=0.13 feats=54
f7b1e64	0.343230	0.236788	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=3 threshold=0.13 feats=54
f7b1e64	0.347220	0.236755	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=7 threshold=0.13 feats=54
f7b1e64	0.351390	0.236758	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=54
f7b1e64	0.338480	0.236750	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=12 threshold=0.13 feats=54
82e2209	0.351390	0.236758	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=54
82e2209	0.332331	0.236862	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=39
82e2209	0.351390	0.236758	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=55
82e2209	0.342193	0.236809	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=55
82e2209	0.342688	0.236838	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=53
82e2209	0.287837	0.237103	ok	model=lr calibrate=True folds=4 early_cutoff=10 W=15 momentum_W=10 threshold=0.13 feats=54
82e2209	0.321142	0.236868	ok	model=lr calibrate=True folds=4 early_cutoff=20 W=15 momentum_W=10 threshold=0.13 feats=54
82e2209	0.351390	0.236758	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=55
82e2209	0.341489	0.236728	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=54
82e2209	0.288596	0.239315	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=54
82e2209	0.295474	0.238904	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=54
82e2209	0.337380	0.236906	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=54
82e2209	0.339635	0.236808	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=55
82e2209	0.232040	0.238675	ok	model=lgb calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=54
82e2209	0.355232	0.236757	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=55
a5b9965	0.331308	0.236832	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=57
a5b9965	0.355232	0.236757	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=55
a5b9965	0.350577	0.236730	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=56
a5b9965	0.348402	0.236748	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=56
2be9cee	0.340006	0.236789	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=56
2be9cee	0.355232	0.236757	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=56
2be9cee	0.318289	0.236772	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=12 momentum_W=10 threshold=0.13 feats=55
2be9cee	0.337736	0.236690	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=10 momentum_W=10 threshold=0.13 feats=55
2be9cee	0.340623	0.236852	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=20 momentum_W=10 threshold=0.13 feats=55
2be9cee	0.351420	0.236747	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=7 threshold=0.13 feats=55
2be9cee	0.351241	0.236757	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.14 feats=55
2be9cee	0.324905	0.236884	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=55
2be9cee	0.329573	0.236860	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=56
2be9cee	0.357322	0.236843	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=55
47e649c	0.344885	0.237049	ok	model=lr calibrate=True folds=4 early_cutoff=30 W=15 momentum_W=10 threshold=0.13 feats=55
47e649c	0.329962	0.236782	ok	model=lr calibrate=True folds=4 early_cutoff=22 W=15 momentum_W=10 threshold=0.13 feats=55
47e649c	0.320505	0.236843	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.12 feats=55
47e649c	0.347586	0.237009	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=55
47e649c	0.355587	0.236852	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=55
47e649c	0.357730	0.236871	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=56
30b54b8	0.357056	0.236871	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=56
30b54b8	0.354227	0.236898	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=57
30b54b8	0.362885	0.236834	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=57
f396edf	0.360427	0.236848	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=58
f396edf	0.364022	0.236927	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=57
60aee52	0.335617	0.236788	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=57
60aee52	0.323729	0.236927	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.12 feats=57
60aee52	0.364022	0.236927	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=58
60aee52	0.356306	0.236896	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=58
60aee52	0.374834	0.236927	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=57
89b1dc4	0.378816	0.236927	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=57
09aa639	0.389910	0.236927	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=57
768bfda	0.396631	0.236927	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=57
16e6c26	0.389490	0.236927	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=57
16e6c26	0.411556	0.236927	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=57
ae71154	0.369652	0.236927	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.15 feats=57
ae71154	0.399714	0.236710	ok	model=lr calibrate=True folds=4 early_cutoff=20 W=15 momentum_W=10 threshold=0.14 feats=57
ae71154	0.405501	0.236904	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=58
ae71154	0.411034	0.236928	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=56
ae71154	0.404722	0.236845	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=57
ae71154	0.422087	0.236892	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=58
324da33	0.411556	0.236927	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=57
324da33	0.396908	0.236897	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=56
324da33	0.418478	0.236892	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=58
324da33	0.408961	0.236906	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=57
324da33	0.410450	0.236939	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=59
324da33	0.353358	0.239916	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=58
324da33	0.403619	0.236875	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=58
324da33	0.437999	0.239125	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=58
9bc69c1	0.419487	0.238833	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=58
9bc69c1	0.399765	0.239125	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=58
9bc69c1	0.385903	0.239382	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=58
9bc69c1	0.422087	0.236892	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=58
9bc69c1	0.401027	0.239125	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=58
9bc69c1	0.441085	0.239139	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=57
9d8577d	0.381258	0.236892	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=58
9d8577d	0.366050	0.242420	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=57
9d8577d	0.441261	0.239135	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=56
56da28a	0.402105	0.238178	ok	model=lr calibrate=True folds=5 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=56
56da28a	0.441877	0.239141	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=55
ca37fdd	0.264882	0.241048	ok	model=lgb calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=57
ca37fdd	0.321850	0.242789	ok	model=xgb calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=55
ca37fdd	0.323125	0.241706	ok	model=ensemble_avg calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=55
ca37fdd	0.394801	0.236916	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=55
ca37fdd	0.422087	0.236892	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=58
ca37fdd	0.425520	0.236892	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=58
ca37fdd	0.385261	0.236892	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.13 feats=58
ca37fdd	0.232024	0.252993	ok	model=ensemble_stack calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=58
ca37fdd	0.428262	0.236894	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=59
ca37fdd	0.435073	0.236882	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=60
ca37fdd	0.435073	0.236882	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=61
ca37fdd	0.431348	0.236892	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=61
ca37fdd	0.428596	0.236873	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=59
ca37fdd	0.355911	0.236882	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.15 feats=60
ca37fdd	0.419933	0.236803	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=60
ca37fdd	0.406076	0.236882	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=60
ca37fdd	0.408192	0.236889	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=61
ca37fdd	0.448433	0.236850	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=61
bd17ccc	0.448433	0.236850	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=62
bd17ccc	0.439764	0.236850	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=61
bd17ccc	0.428715	0.236850	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=61
bd17ccc	0.444412	0.236847	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=62
bd17ccc	0.392375	0.236806	ok	model=lr calibrate=True folds=4 early_cutoff=20 W=15 momentum_W=10 threshold=0.14 feats=61
bd17ccc	0.419735	0.237029	ok	model=lr calibrate=True folds=4 early_cutoff=30 W=15 momentum_W=10 threshold=0.14 feats=61
bd17ccc	0.448433	0.236850	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=62
bd17ccc	0.428701	0.236897	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=62
bd17ccc	0.271025	0.240440	ok	model=lgb calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=61
bd17ccc	0.442852	0.236896	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=62
bd17ccc	0.427806	0.236970	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=7 threshold=0.14 feats=61
bd17ccc	0.390276	0.237008	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=12 momentum_W=10 threshold=0.14 feats=61
bd17ccc	0.437177	0.236861	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=60
bd17ccc	0.448466	0.236845	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=62
5d5e85e	0.448483	0.236845	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=63
e89d45a	0.448483	0.236845	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=64
e89d45a	0.426974	0.236844	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=64
e89d45a	0.448483	0.236845	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=64
e89d45a	0.415118	0.236871	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=12 threshold=0.14 feats=63
e89d45a	0.445447	0.236841	ok	model=lr calibrate=True folds=4 early_cutoff=25 W=15 momentum_W=10 threshold=0.14 feats=64
